 frase,clase
 nuboso despejado intervalos nubes altas,nubes
 Temperaturas cambios ligero descenso,temperatura
 Viento variable flojo predominio componente oeste,viento
 intervalos nubes bajas descartar precipitación débil dispersa,nubes-precipitacion
 bancos niebla matinales,humedad
 Temperaturas cambios,temperatura
 Viento variable flojo,viento
 nuboso despejado,nubes
 Temperaturas mínimas cambios importantes máximas descensos locales interior,temperatura
 variable flojo,viento
 nubes altas despejar final,nubes
 cambios,otros
 Viento variable flojo predominio componente oeste,viento
 nuboso principio tendiendo mediodía nuboso intervalos nubes altas,nubes
 Temperaturas mínimas ascenso máximas ascenso litoral cambios interior,temperatura
 componente oeste flojo moderado,viento
 nubes altas,nubes
 Temperaturas ascenso,temperatura
 Viento componente oeste flojo,viento
 nubes altas abundantes tarde,nubes
 Temperaturas descenso máximas,temperatura
 Viento variable flojo,viento
 cubierto precipitaciones ocasionales primera mitad día disminuyendo nubosidad tarde nuboso,nubes-precipitacion
 Temperaturas mínimas cambios importantes máximas ascenso litorales,temperatura
 Viento variable flojo tendiendo largo mañana componente oeste moderado racha fuerte interior,viento
 nuboso intervalos nubes medias altas,nubes
 bancos niebla matinales,humedad
 Temperaturas cambios,temperatura
 heladas débiles interior,temperatura
 Viento variable flojo,viento
 nuboso intervalo nubes altas,nubes
 Temperaturas ascenso máximas interior,temperatura
 Viento oeste flojo,viento
 nubes altas,temperatura
 Temperaturas mínimas cambios máximas ascenso,viento
 Viento componente oeste flojo moderado,viento
 primeras horas cielo nuboso descartar precipitaciones débiles,nubes-precipitacion
 partir mañana tenderá general nuboso despejado,nubes
 Temperaturas mínimas ascenso máximas descenso,temperatura
 Viento oeste noroeste moderado intervalos fuerte rachas fuertes interior,viento
 nuboso cubierto,nubes
 litoral esperan precipitaciones general débiles moderadas extremo sur,precipitacion
 bancos niebla matinales interior,humedad
 Temperaturas cambios importantes,temperatura
 Viento norte noreste flojo moderado,viento
 cielo despejado,nubes
 Temperaturas cambios ligero descenso,temperatura
 Viento componente oeste flojo intervalos moderado,viento
 nubes altas,nubes
 Temperaturas mínimas cambios máximas ascenso,temperatura
 Viento variable flojo,viento
 nubes medias altas madrugada tendiendo mañana cielo nuboso despejado,nubes
 Temperaturas descensos locales,temperatura
 Viento componente oeste flojo intervalos moderado mañana,viento
 nuboso despejado aumentando intervalos nubes altas tarde,nubes
 Temperaturas mínimas ascenso máximas cambios,temperatura
 Viento componente oeste flojo intervalos moderado interior,viento
 cielo nuboso nubosidad abundante mañana interior,nubes
 Temperaturas cambios,temperatura
 Viento oeste suroeste flojo intervalos moderado,viento
 nuboso intervalos nubes altas aumento nubosidad tipo bajo final día litoral,nubes
 Temperaturas mínimas cambios máximas descenso,temperatura
 descartan heladas débiles puntos interior,temperatura
 Viento variable flojo,viento
 nuboso,nubes
 Temperaturas descenso,temperatura
 Viento componente oeste flojo moderado,viento
 nuboso despejado,nubes
 Temperaturas mínimas descenso máximas cambios importantes,temperatura
 Viento oeste flojo intervalos moderado,viento
 nuboso despejado intervalos nubes altas,nubes
 Temperaturas ascenso acusado áreas montaña máximas subirán general grados,temperatura
 Viento componente oeste flojo intervalos moderado interior,viento
 nuboso intervalos nubes altas,nubes
 Temperaturas mínimas descenso máximas cambios,temperatura
 Viento componente oeste flojo intervalos moderado zonas interior,viento
 nuboso intervalos nubes altas,nubes
 Temperaturas mínimas cambios descenso máximas ascenso,temperatura
 Viento componente oeste flojo intervalos moderado mañana,viento
 primeras horas cielo nuboso descartar precipitaciones débiles partir mañana abrirán claros quedar nuboso despejado,nubes-precipitacion
 Temperaturas grandes cambios ascensos máximas litoral,temperatura
 Viento oeste moderado fuerte disminuyendo tarde moderado,viento
 nuboso intervalos nubes altas primeras horas intervalos nubes bajas,nubes
 descartan bancos niebla matinales interior madrugada primeras horas mañana,humedad
 Temperaturas cambios importantes,temperatura
 Viento variable flojo calmas,viento
 nuboso despejado intervalos nubes altas,nubes
 descarta banco niebla litoral sur,humedad
 Temperaturas mínimas cambios ligero ascenso máximas descenso interior cambios litoral,temperatura
 Viento variable flojo,viento
 nubes medias altas aumentando nuboso sur norte descartar precipitación débil dispersa,nubes-precipitacion
 Temperaturas mínimas cambios máximas descenso,temperatura
 Viento oeste flojo tendiendo variable,viento
 nubes altas,nubes
 bancos niebla matinales interior,humedad
 Temperaturas cambios importantes,temperatura
 Viento variable flojo tendiendo componente oeste flojo interior suroeste moderado litoral,viento
 nuboso intervalos nubes altas,nubes
 Temperaturas cambios importantes,temperatura
 Viento variable flojo,viento
 intervalos nubosos,nubes
 Temperaturas descenso máximas interior,temperatura
 Heladas débiles interior,temperatura
 variable flojo intervalos nordeste moderado litoral mañana,viento
 nuboso intervalos nubes altas aumentando final día nubosidad oeste cielo nuboso,nubes
 Temperaturas cambios importantes,temperatura
 Viento variable flojo predominio sur suroeste flojo litoral tarde,viento
 nubes altas,nubes
 Temperaturas cambios,temperatura
 Viento oeste flojo tendiendo variable,viento
 principio descartar precipitación quedando madrugada intervalos nubosidad baja probables brumas bancos niebla matinales nuboso resto tendiendo tarde despejado comunidad,nubes-precipitacion
 Temperaturas descenso resto mínimas ascenso máximas cambios descenso mínimas alcanzarán final día,temperatura
 Heladas débiles intensas cotas altas,temperatura
 Viento flojo oeste noroeste,viento
 nuboso intervalos nubes altas,nubes
 resto nuboso nubes bajas brumas bancos niebla matinales tendiendo nuboso intervalos nubes altas segunda mitad día,nubes
 Temperaturas mínimas cambios ligero ascenso máximas cambios descenso resto,temperatura
 Vientos flojos variables tendiendo final nordeste,viento
 cubierto lluvias débiles chubascos ocasionales probables sur,precipitacion
 Cota nieve metros,nieve
 Temperaturas aumento acusado mínimas,temperatura
 Viento suroeste flojo intervalos intensos horas centrales,viento
 cubierto lluvias chubascos mediodía disminuyendo nubosidad intervalos,precipitacion
 precipitaciones forma nieve entorno torno 1800 1200 metros disminuyendo cota 1300 metros,nieve
 Temperaturas aumento máximas cotas altas disminuirán mínimas final día,temperatura
 Heladas débiles dispersas norte,temperatura
 Viento suroeste flojo girando oeste tarde extremo sur intervalos fuerte zonas altas descarta racha fuerte,viento
 nubes bajas primera horas centro sur brumas bancos niebla matinales densas persistentes mañana valle tendiendo partir horas centrales día nuboso área nuboso intervalos nubes altas,nubes
 Temperaturas mínimas descenso sur cambios norte máximas aumento,temperatura
 Viento flojo variable,viento
 Viento flojo variable calma,viento
 cielos nubosos abriéndose claros tarde,nubes
 Precipitaciones generalizadas primera mitad día intensas tendiendo ocasionales tarde,precipitacion
 Cota nieve 1600 metros bajando tarde 1400 metros,nieve
 Brumas probables suroeste,humedad
 Temperaturas mantienen cambios ligeros descensos locales,temperatura
 Viento suroeste flojo arreciando horas centrales,viento
 lluvias chubascos tendiendo nuboso partir mediodía remitiendo precipitaciones,precipitacion
 Cota nieve torno 1100 metros partir mañana,nieve
 Probables nieblas zonas altas medias sierra,humedad
 Temperaturas mínimas ligero ascenso acusado centro comunidad máximas descenso cambios resto,temperatura
 mínimas alcanzarán final día,temperatura
 Viento componente oeste rachas fuertes puntos altos,viento
 intervalos nubosos tipo bajo primeras horas nuboso día tendencia irse abriendo claros zonas altas nubosidad escasa,nubes
 Probables brumas bancos niebla persistentes mañana gran parte comunidad,humedad
 Temperaturas cambios importantes ligero descenso máximas general embargo máximas suben,temperatura
 Heladas débiles cotas altas,temperatura
 Viento flojo variable,viento
 nuboso despejado intervalos nubes altas aumentando cubierto tarde lluvias débiles chubascos oeste intensos,nubes
 Temperaturas mínimas cambios máximas descenso cambios resto,temperatura
 Heladas débiles dispersas sureste,temperatura
 Viento flojo este nordeste rolando tarde suroeste,viento
 nuboso despejado nubes bajas bancos niebla matinales vegas,nubes
 Temperaturas cambios significativos máximas descenderán,temperatura
 Viento flojo variable predominando nordeste partir mediodía,viento
 cielo despejado intervalo nubes altas probables brumas bancos niebla estratos bajos matinales valles sureste extremo sur,nubes
 Temperaturas cambios predominando descensos,temperatura
 Vientos flojos variables,viento
 nuboso intervalo nubes altas probables brumas bancos niebla estratos bajos matinales valles,nubes
 Temperaturas ligero ascenso,temperatura
 Viento flojo variable,viento
 cubierto lluvias débiles chubascos madrugada probables intensas sureste probables brumas disminuyendo mañana nuboso intervalos tarde intervalos abundantes resto comunidad nubes altas,precipitacion
 Cota nieve torno 1400 metros,nieve
 Temperaturas mínimas cambios ascenso resto alcanzándose final día máximas ascenso área cambios resto,temperatura
 Heladas débiles área,temperatura
 Vientos flojos oeste suroeste,viento
 nubes bajas mañana tendiendo abrirse claros horas centrales quedando tarde cielos nuboso intervalos nubes altas,nubes
 Nieblas matinales persistentes,humedad
 Temperaturas ligero aumento cambios resto,temperatura
 Viento flojo variable,viento
 nuboso intervalos nubes altas mediodía descartar brumas bancos nieblas matinales sur sureste,nubes
 Temperaturas cambios descensos locales máximas,temperatura
 descarta helada débil aislada,temperatura
 Vientos flojos variables predominando componente norte mañana,viento
 nuboso cubierto tendiendo nuboso mañana,nubes
 chubascos primera mitad día cotas nieve 1600 metros disminuyendo madrugada 1400 metros,nieve
 Probables brumas bancos niebla matinales,humedad
 Temperaturas mínimas ligero descenso máximas cambios significativos,temperatura
 Heladas débiles,temperatura
 Viento flojo suroeste,viento
 nubes medias altas mañana nuboso despejado resto día formación nocturna vegas estratos bajos bancos niebla disiparán mañana,nubes
 Temperaturas cambios,temperatura
 Heladas débiles zonas bajas,temperatura
 Viento flojo variable calma,viento
 nuboso despejado intervalos nubes altas nubes bajas brumas bancos niebla matinales sur sureste,nubes
 Temperaturas mínimas descenso,temperatura
 Temperaturas máximas aumento,temperatura
 Vientos flojos variables,viento
 nuboso nubes altas aumentando nuboso cubierto partir mediodía probabilidad baja lluvias débiles sierra final día,nubes
 Temperaturas ascenso notable máximas resto mínimas ligero descenso máximas cambios,temperatura
 Heladas débiles mitad oriental,temperatura
 Vientos flojos dirección variable tendiendo suroeste,viento
 principio precipitaciones débiles extremo tendiendo mañana intervalos nubosos tarde nuboso despejado,precipitacion
 Lluvias débiles chubascos ocasionales madrugada,precipitacion
 Cota nieve torno 1400 metros descendiendo 1200 metros,nieve
 Temperaturas descenso mínimas darán final día,temperatura
 Heladas débiles zonas montaña,temperatura
 Viento suroeste flojo arreciando mañana viento noroeste probables rachas fuertes,viento
 nuboso despejado intervalos nubes bajas principio zonas altas,nubes
 descartan brumas matinales vegas sur,humedad
 Heladas débiles intensas zonas altas,temperatura
 Temperaturas mínimas cambios ascenso resto máximas cambios significativos,temperatura
 Viento flojo nordeste,viento
 probables estratos bajos brumas bancos niebla matinales valles extremo sur intervalos nubes altas partir tarde,nubes
 Temperaturas cambios descenso resto,temperatura
 Heladas débiles mitad valles sur,temperatura
 Vientos flojos variables,viento
 nuboso intervalos nubes altas,nubes
 descartan brumas bancos niebla matinales valles sur comunidad,humedad
 Temperaturas ascenso resto ligero descenso mínimas cambios máximas,temperatura
 Viento flojo variable tendiendo tarde nordeste,viento
 cubierto tendiendo tarde intervalos nubosos,nubes
 Probables precipitaciones débiles principio,precipitacion
 Cota nieve metros,nieve
 bancos niebla matinales probables,humedad
 Temperaturas cambios importantes,temperatura
 Heladas débiles cotas altas,temperatura
 Viento flojo predominio componente oeste tendiendo variable,viento
 nuboso principio intervalos nubes bajas probables bancos niebla brumas matinales sudeste aumentando cubierto,nubes
 descartan lluvias débiles final,precipitacion
 Temperaturas mínimas ligero descenso ligero ascenso resto máximas descenso,temperatura
 Viento flojo variable tendiendo tarde suroeste,viento
 cubierto tendiendo nuboso tarde,nubes
 Probables chubascos dispersos cesando tarde,precipitacion
 Cota nieve torno 1400 metros,nieve
 Brumas,humedad
 Temperaturas mínimas ligero moderado descenso máximas cambios,temperatura
 Viento suroeste flojo intervalos intensos,viento
 nuboso despejado intervalos nubes altas,nubes
 Temperaturas mínimas aumento suroeste mantendrán cambios,temperatura
 Temperaturas máximas cambios significativos aumentarán,temperatura
 Viento flojo variable predominando componente norte,viento
 principio nuboso intervalos nubosos tipo bajo sureste probables brumas matinales banco niebla tendiendo tarde cubrirse cielos nubes altas,nubes
 Temperaturas descenso,temperatura
 Heladas débiles generalizadas,temperatura
 Viento flojo dirección variable,viento
 nuboso descartar lluvias débiles final día,nubes
 resto intervalos nubosos predominando cielos nubosos horas centrales,nubes
 descartan brumas bancos niebla matinales,humedad
 Temperaturas ligero descenso heladas débiles cotas altas,temperatura
 Viento flojo variable tendiendo suroeste,viento
 nubes altas esperan nubes bajas principio final día cotas altas irán acompañadas brumas bancos niebla centro sur,nubes
 Temperaturas mínimas aumento máximas suben zonas altas mantienen cambios ligero descenso zonas afectadas nieblas,temperatura
 Vientos flojos variables,viento
 nuboso despejado intervalos nubes medias altas frecuentes tarde,nubes
 descarta bruma banco niebla valle tributarios,humedad
 Temperaturas mínimas descenso acusado,temperatura
 Temperaturas máximas aumento cambios resto,temperatura
 Heladas débiles amplias zonas centro norte provincia acusadas zonas altas,temperatura
 Vientos flojos variables tendiendo suroeste,viento
 nubes altas,nubes
 descartan brumas banco niebla matinal valles sur comunidad,humedad
 Temperaturas mínimas descenso máximas cambios salvo ascenderán,temperatura
 Viento flojo variable,viento
 tendiendo intervalos nubosos nuboso final persistente nubosidad sierra probables nieblas,nubes
 Temperaturas mínimas descenso máximas descenso cambios resto,temperatura
 Heladas débiles zonas altas,temperatura
 Viento oeste noroeste rachas fuertes madrugada,viento
 cielos nubosos despejados,nubes
 Temperaturas cambios,temperatura
 Viento nordeste flojo moderado intenso punta noroeste costa sureste brisas costas norte oeste,viento
 general intervalos nubosos primeras horas norte,nubes
 Temperaturas máximas ascenso mínimas cambios,temperatura
 Viento flojo intenso medianías zonas altas,viento
 nuboso aumentando intervalos nubosos tarde nordeste suroeste,nubes
 Baja probabilidad lluvias débiles tarde nordeste suroeste,precipitacion
 Temperaturas ascenso,temperatura
 Viento flojo componente oeste girando componente norte tarde,viento
 cumbres centrales viento noroeste moderado disminuyendo segunda mitad día,viento
 nuboso despejado intervalos nubosos nordeste madrugada,nubes
 Baja probabilidad calima ligera,humedad
 Temperaturas cambios ligero ascenso costas,temperatura
 Viento nordeste costas componente medianías zonas altas,viento
 costa oeste,viento
 nubes medias altas tendiendo nuboso tarde,nubes
 Temperaturas cambios,temperatura
 Viento sudeste moderado fuerte intenso probables rachas fuerte cumbres vertientes nordeste incluida área metropolitana vertientes suroeste llegar costas nordeste,viento
 Predominio brisas costa noroeste,viento
 nubosos,nubes
 descarta lluvia débil ocasional norte primera mitad día segunda mitad probables lluvias débiles norte débiles moderadas zonas interior sur,precipitacion
 Temperaturas mínimas cambios máximas ligero ascenso,temperatura
 Viento componente oeste flojo,viento
 viento noroeste disminuyendo girando componente oeste final,viento
 norte nordeste intervalos nubosos predominando claros tarde,nubes
 cumbres metros resto vertientes nuboso despejado,nubes
 Temperaturas cambios,temperatura
 Viento nordeste intervalos fuerte vertientes noroeste sureste predominio brisas costas norte oeste,viento
 nubosos norte metros predominando cielos nubosos tarde,nubes
 Despejado general resto zonas,nubes
 nubosidad alta última hora día,nubes
 Temperaturas mínimas cambios ligero ascenso máximas cambios,temperatura
 Viento nordeste flojo moderado girando componente medianías zonas altas intenso extremos sudeste noroeste,viento
 viento variable flojo,viento
 Predominio brisas costa suroeste,viento
 nuboso general intervalos nubes altas,nubes
 norte intervalos nubosos primera mitad día últimas horas,nubes
 Temperaturas cambios ligero ascenso,temperatura
 Viento nordeste flojo moderado brisas zonas costa,viento
 medianías predominará componente,viento
 nubosos nordeste apertura claros horas centrales día,nubes
 nuboso despejado resto,nubes
 Temperaturas cambios,temperatura
 Viento nordeste intenso extremo sudeste predominio brisas costa suroeste,viento
 Viento componente medianías variable flojo,viento
 nuboso despejado intervalos nubes altas,nubes
 cambios,otros
 Viento este litoral brisas costas oeste,viento
 medianías zonas altas moderado fuerte,viento
 descartan rachas fuertes inicio medianías comprendidas dar nivel costas,viento
 nuboso despejado intervalos nubes altas,nubes
 Temperaturas mínimas cambios máximas ligero descenso,temperatura
 Viento este sureste flojo moderado intensificándose tarde,viento
 últimas horas descartan rachas fuertes medianías nordeste llegar nivel costa,viento
 Predominio brisas costa,viento
 nubosos despejados intervalos nubes altas primera mitad día,nubes
 Temperaturas cambios ligero descenso área metropolitana zona,temperatura
 Viento nordeste flojo moderado intenso horas centrales vertiente sudeste punta noroeste,viento
 costa oeste,otros
 nuboso despejado intervalos altas madrugada final día,nubes
 Posibilidad calima final día,humedad
 Temperaturas ligero ascenso acusado norte suroeste,temperatura
 Viento nordeste flojo moderado girando sureste mañana intensificándose intervalos fuerte vertientes nordeste incluida área metropolitana suroeste,viento
 brisas costas norte,viento
 nuboso despejado intervalos nubes altas,nubes
 Temperaturas cambios,temperatura
 Viento componente flojo moderado,viento
 cumbres centrales viento flojo suroeste girando noroeste final,viento
 costas norte oeste,otros
 Nuboso tendiendo intervalos nubosos partir mediodía,nubes
 descarta primeras horas fuertes ir acompañados tormenta aislada granizo vertientes norte,precipitacion
 Baja probabilidad forma nieve metros madrugada,nieve
 precipitaciones probables ocasionales concentradas vertientes norte partir mediodía,precipitacion
 Temperaturas cambios ligero descenso,temperatura
 Viento norte flojo moderado,viento
 cumbres centrales componente oeste flojo madrugada tendiendo viento componente norte intervalos fuerte,viento
 nuboso despejado general intervalos nubes bajas nordeste última hora tarde,nubes
 cambios ligero descenso máximas nordeste,viento
 Viento nordeste flojo moderado intenso vertiente sudeste extremo noroeste medianías nordeste excluyendo área metropolitana primeras horas mañana,viento
 medianías viento este nordeste,viento
 cumbres viento flojo variable,viento
 brisas costa suroeste,viento
 nubes bajas nordeste tendiendo nuboso partir mediodía,nubes
 resto nuboso despejado intervalo nubes medias altas tarde,nubes
 cambios ligeros descensos mínimas ligeros ascensos máximas,precipitacion
 Viento flojo moderado nordeste tendiendo componente costas sureste medianías zonas altas,viento
 costas suroeste,otros
 norte nordeste intervalos nubosos amplios claros horas centrales,nubes
 cumbres resto vertientes nuboso despejado,nubes
 Temperaturas cambios ligero ascenso,temperatura
 Viento nordeste intervalos fuerte inicio extremos noroeste sudeste,viento
 Predominio brisas costas norte oeste,viento
 nubosos aumentando mañana nuboso,nubes
 lluvias débiles nordeste suroeste,precipitacion
 cambios ligero descenso,precipitacion
